Street,Year,NumAccidents
Sumner Street,2011,1
11th Avenue,2011,4
Ainsworth Street,2011,4
ML King Blvd,2011,10
Rural Street,2011,1
87th Avenue,2011,1
Hawthorne Boulevard,2011,12
9th Avenue,2011,7
34th Avenue,2011,1
Shaver Street,2011,1
Flanders Street,2011,2
53rd Avenue,2011,1
Sacramento Street,2011,1
42nd Avenue,2011,3
Gladstone Street,2011,5
Killingsworth Street,2011,3
15th Avenue,2011,5
Interstate Avenue,2011,7
Wheeler Avenue,2011,7
Weidler Street,2011,4
7th Avenue,2011,6
Vermont Street,2011,3
45th Avenue,2011,4
Multnomah Street,2011,4
Milwaukie Avenue,2011,3
Lafayette Street,2011,1
Glisan Street,2011,11
20th Avenue,2011,12
Sherman Street,2011,1
Ave. Footpath,2011,1
61st Avenue,2011,2
Lovejoy Street,2011,2
22nd Avenue,2011,2
82nd Avenue,2011,10
Klickitat Street,2011,1
Couch Street,2011,6
Ankeny Street,2011,7
Malden Court,2011,1
Powell Boulevard,2011,8
115th Avenue,2011,1
28th Avenue,2011,6
Portsmouth Avenue,2011,1
Lombard Street,2011,5
Salmon Street,2011,7
14th Avenue,2011,2
108th Avenue,2011,1
Washington Street,2011,3
Terwilliger Boulevard,2011,3
Condor Lane,2011,2
Division Street,2011,13
50th Avenue,2011,2
Barbur Boulevard,2011,4
30th Avenue,2011,2
Boise Street,2011,1
102nd Avenue,2011,2
Cherry Blossom,2011,1
122nd Avenue,2011,10
Broadway,2011,21
2nd Avenue,2011,4
3rd Avenue,2011,9
24th Avenue,2011,2
Schuyler Street,2011,1
8th Avenue,2011,6
Irving Street,2011,4
Moore Avenue,2011,1
Pettygrove Street,2011,1
Houghton Street,2011,1
Geneva Avenue,2011,1
Stanton Street,2011,1
Stark Street,2011,8
Cesar Chavez Blvd,2011,4
16th Drive,2011,1
Drive Trail,2011,1
Monteith Avenue,2011,1
Syracuse Street,2011,1
Burnside Street,2011,12
Mall Street,2011,1
36th Place,2011,1
Lincoln Street,2011,1
51st Avenue,2011,1
Hamilton Street,2011,1
Clinton Street,2011,1
41st Avenue,2011,1
Holgate Boulevard,2011,5
Trail,2011,2
Connector,2011,2
26th Way,2011,1
Barbur Court,2011,1
12th Avenue,2011,5
68th Avenue,2011,1
77th Avenue,2011,2
Taylors Ferry,2011,1
Water Avenue,2011,1
Abernethy Street,2011,1
6th Avenue,2011,2
Knott Street,2011,1
1st Avenue,2011,2
Jefferson Street,2011,2
4th Avenue,2011,4
Russell Street,2011,1
Rodney Avenue,2011,1
92nd Avenue,2011,2
Division Place,2011,1
Interstate Place,2011,1
Rosa Parks,2011,2
Fenwick Avenue,2011,2
33rd Avenue,2011,1
Yamhill Street,2011,2
Nevada Street,2011,1
205 Corridor,2011,1
Main Street,2011,1
Corridor,2011,2
148th Avenue,2011,1
67th Avenue,2011,2
23rd Place,2011,1
Vaughn Street,2011,1
Foster Road,2011,7
66th Avenue,2011,1
Glenwood Street,2011,1
18th Avenue,2011,3
Taylor Street,2011,4
Sandy Boulevard,2011,7
Transit Center,2011,1
Raymond Court,2011,1
146th Avenue,2011,1
Oak Street,2011,3
Milton Street,2011,1
154th Avenue,2011,1
Park Place,2011,2
Vista Avenue,2011,2
Mason Street,2011,1
Victoria Avenue,2011,1
Grand Avenue,2011,8
Charleston Avenue,2011,1
Bush Street,2011,1
86th Avenue,2011,1
60th Avenue,2011,1
Capitol Highway,2011,3
Williams Avenue,2011,5
Graham Street,2011,4
Madison Street,2011,5
118th Avenue,2011,1
23rd Avenue,2011,1
Hoyt Street,2011,1
52nd Avenue,2011,2
125th Avenue,2011,2
105th Avenue,2011,2
Everett Street,2011,2
88th Avenue,2011,2
Clay Street,2011,3
Rhone Street,2011,1
70th Avenue,2011,1
Oregon Street,2011,1
Dekum Street,2011,1
29th Avenue,2011,1
65th Avenue,2011,2
Overton Street,2011,1
Moody Avenue,2011,1
Curry Street,2011,1
Ladd Circle,2011,1
Elliott Avenue,2011,1
Mount Hood,2011,1
Cascades Parkway,2011,1
Marine Drive,2011,1
Anchor Way,2011,1
162nd Avenue,2011,2
Alder Street,2011,2
101st Avenue,2011,1
Haight Avenue,2011,1
Vancouver Avenue,2011,7
Flint Avenue,2011,1
Belmont Street,2011,3
16th Avenue,2011,2
Beaverton Hillsdale,2011,2
Dosch Road,2011,1
Alberta Street,2011,2
Thompson Street,2011,1
40th Avenue,2011,3
Woodstock Boulevard,2011,3
72nd Avenue,2011,1
Halsey Street,2011,3
106th Avenue,2011,1
Ash Street,2011,1
74th Avenue,2011,2
Willamette Boulevard,2011,1
Hurst Avenue,2011,1
Oswego Avenue,2011,1
85th Avenue,2011,1
Naito Parkway,2011,3
Portland Boulevard,2011,1
17th Avenue,2011,1
Tenino Street,2011,1
Poplar Avenue,2011,1
21st Avenue,2011,1
27th Avenue,2011,1
Sam Jackson,2011,2
United States,2011,1
Boones Ferry,2011,1
Arnold Street,2011,1
111th Avenue,2011,2
Hassalo Street,2011,1
Hancock Street,2011,1
54th Avenue,2011,1
